"url","teamId"
"Selecci%C3%B3n_de_baloncesto_de_Espa%C3%B1a",NA
"Universidad_de_Cambridge","454"
"Club_San_Luis_(rugby)","405"
"Baltimore_Ravens",NA
"Detroit_Lions",NA
"Philadelphia_Eagles",NA
"Universidad_de_Oxford",578
"Auckland_Grammar_School",NA
"Club_Banco_Hipotecario_Nacional","1106"
"Biarritz","152"
"Clermont","27"
"Universidad_de_Auckland","6862"
"Universidad_de_Queensland","725"
"Racing_Club_de_France","10"
"Universidad_de_Cork","724"
"Western_Suburbs_FC","2344"
"Fotbal_Club_Farul_Constan%C8%9Ba","1232"
"Fotbal_Club_Dinamo_de_Bucarest","488"
"Lomas_Athletic_Club","2488"
"CSA_Steaua_Bucarest","343"
"Arudy","4746"
"Bucure%C8%99ti_Wolves","342"
"Manly","552"
"Grenoble_Foot_38","255"
"Regi%C3%B3n_de_Bay_of_Plenty","957"
"Selecci%C3%B3n_de_baloncesto_de_Espa%C3%B1a",NA
"Leinster","267"
"Castanet","419"
"CSM_Suceava","7070"
"Selecci%C3%B3n_juvenil_de_rugby_de_Gales","1950"
"Oyonnax","92"
"Sarlat-la-Can%C3%A9da","469"
"Peyrehorade","2110"
"Bearne","5321"
"Selecci%C3%B3n_juvenil_de_rugby_de_Canad%C3%A1","134"
