"wikidataId","fullName","esName","esFullName","birthDate","birthPlace","birthPlaceWP","deathDate","deathPlace","deathPlaceWP","height","weight","positions","positionsWP","citizenship"
"Q207","George W. Bush","George W. Bush",NA,"6 de julio de 1946","New Haven","/wiki/New_Haven",NA,NA,NA,183,NA,NA,NA,NA
"Q5809","Ernesto Guevara","ErnestoCheGuevara",NA,"14 de junio de 1928","ciudad de",NA,"9 de octubre de 1967","(39 años)",NA,176,NA,NA,NA,NA
"Q7571","Patricio Albacete","Patricio Albacete","Patricio Esteban Albacete","9 de febrero de 1981","Buenos Aires","/wiki/Buenos_Aires",NA,NA,NA,200,125,"2nd Row",NA,"Argentina"
"Q12940","Jacques Chaban-Delmas","Jacques Chaban-Delmas",NA,"7 de marzo de 1915","XIII Distrito de París","/wiki/XIII_distrito_de_Par%C3%ADs","10 de noviembre de 2000","VII Distrito de París","/wiki/VII_distrito_de_Par%C3%ADs",NA,NA,"3rd Row",NA,NA
"Q18455","Ben Tune","Ben Tune","Benjamin Newman Tune","28 de diciembre de 1976","Brisbane","/wiki/Brisbane",NA,NA,NA,185,96,"Winger; Centre",NA,"Australia"
"Q26037","Quade Cooper","Quade Cooper","Quade Santini Cooper​","5 de abril de 1988","Auckland","/wiki/Auckland",NA,NA,NA,186,92,"Fly-Half",NA,"New Zealand"
"Q31193","Ben Smith","Ben Smith","Benjamin Robert Smith","1 de junio de 1986","Dunedin","/wiki/Dunedin",NA,NA,NA,186,91,"Fullback; Winger; Outside Centre",NA,"New Zealand"
"Q72185","Manu Tuilagi","Manu Tuilagi","Etuale Manu Samoa Tuilagi","18 de mayo de 1991","Savai'i","/wiki/Savai%27i",NA,NA,NA,185,120,"Centre",NA,"Samoa"
"Q76869","Toby Flood","Toby Flood","Tobias Gerald Albert Lieven Flood","8 de agosto de 1985","Surrey Heath","/wiki/Surrey_Heath",NA,NA,NA,188,91,"Fly-Half",NA,"England"
"Q94780","Joe Rokocoko","Joe Rokocoko","Josevata Taliga Rokocoko","06 de junio de 1983","Nadi","/wiki/Nadi_(Fiyi)",NA,NA,NA,189,109,"Winger",NA,"Fiji"
"Q106775","Richard Harris","Richard Harris",NA,"1 de octubre de 1930",NA,NA,"25 de octubre de 2002","(72 años)",NA,185,NA,NA,NA,NA
"Q113526","Adriaan Strauss","Adriaan Strauss","Jan Adriaan Strauss","18 de noviembre de 1985","Bloemfontein","/wiki/Bloemfontein",NA,NA,NA,185,113,"Hooker",NA,"South Africa"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick Jonathan Lambie","17 de octubre de 1990","Durban","/wiki/Durban",NA,NA,NA,177,87,"Fullback",NA,"South Africa"
"Q127618","Chris Ashton","Chris Ashton","Christopher John Ashton","29 de marzo de 1987","Wigan","/wiki/Wigan",NA,NA,NA,182,92,"Winger; Fullback",NA,"England"
"Q128407","Martín Bustos Moyano","Bustos Moyano",NA,"12 de julio de 1985","Córdoba","/wiki/C%C3%B3rdoba_(Argentina)",NA,NA,NA,186,92,"3rd Row",NA,"Argentina"
"Q134895","Javier Bardem","Javier Bardem",NA,"1 de marzo de 1969","Las Palmas de Gran Canaria","/wiki/Las_Palmas_de_Gran_Canaria",NA,NA,NA,NA,NA,NA,NA,NA
"Q135385","Israel Dagg","Israel Dagg","Israel Jamahl Akuhata Dagg","6 de junio de 1988","Marton","/w/index.php?title=Marton_(Nueva_Zelanda)&action=edit&redlink=1",NA,NA,NA,185,96,"Fullback",NA,"New Zealand"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthrö Garth Steenkamp","12 de junio de 1981","Paarl","/wiki/Paarl",NA,NA,NA,189,122,"Prop",NA,"South Africa"
"Q138722","Stephen Donald","Stephen Donald","Stephen Rex Donald","3 de diciembre de 1983","Auckland","/wiki/Auckland",NA,NA,NA,186,96,"Fly-Half; Centre",NA,"New Zealand"
"Q147338","Morris Kirksey","Morris Kirksey",NA,"13 de septiembre de 1895","Waxahachie","/wiki/Waxahachie_(Texas)","25 de noviembre de 1981","Stanford","/wiki/Stanford_(California)",NA,NA,NA,NA,"U.S.A."
"Q151533","Sam Whitelock","Sam Whitelock","Samuel Lawrence Whitelock","12 de octubre de 1988","Palmerston North","/wiki/Palmerston_North",NA,NA,NA,202,114,"2nd Row",NA,"New Zealand"
"Q151572","Victor Vito","Victor Vito","Victor Vasefanua Junior Vito","27 de marzo de 1987","Wellington","/wiki/Wellington",NA,NA,NA,192,112,"3rd Row; Number 8",NA,"New Zealand"
"Q166094","Zane Kirchner","Zane Kirchner",NA,"16 de junio de 1984","George","/wiki/George_(Sud%C3%A1frica)",NA,NA,NA,184,86,"Fullback; Centre; Winger",NA,"South Africa"
"Q168675","Francois Pienaar","François Pienaar","Jacobus François Pienaar","02 de enero de 1967","Vereeniging","/wiki/Vereeniging",NA,NA,NA,191,108,"Flanker",NA,"South Africa"
"Q169368","Jean Monribot","Jean Monribot",NA,"11 de octubre de 1987","Lalinde","/wiki/Lalinde",NA,NA,NA,183,91,"3rd Row",NA,"France"
"Q172174","Guy Ligier","Guy Ligier",NA,"12 de julio de 1930","Vichy","/wiki/Vichy","23 de agosto de 2015","Nevers","/wiki/Nevers",NA,NA,NA,NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Daniel Clive Thomas Rowlands","14 de mayo de 1938","Upper Cwmtwrch","/w/index.php?title=Upper_Cwmtwrch&action=edit&redlink=1","29 de julio de 2023","Swansea","/wiki/Swansea",NA,NA,"Scrum-Half",NA,"Wales"
"Q181263","François Steyn","François Steyn","François Philippus Lodewyk Steyn","14 de mayo de 1987","Aliwal North","/w/index.php?title=Aliwal_North&action=edit&redlink=1",NA,NA,NA,191,111,"Centre; Fullback; Fly-Half",NA,"South Africa"
"Q182609","Jacques Rogge","Jacques Rogge",NA,"2 de mayo de 1942","Gante","/wiki/Gante","29 de agosto de 2021","Deinze","/wiki/Deinze",NA,NA,NA,NA,NA
"Q188309","Sergio Parisse","Sergio Parisse","Sergio Francisco Mateo Parisse","12 de septiembre de 1983","La Plata","/wiki/La_Plata",NA,NA,NA,196,110,"Number 8; 3rd Row",NA,"Argentina"
