"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q7571","Patricio Albacete","Patricio Albacete","Patricio_Albacete","2003",NA,"Argentina","Selecci%C3%B3n_de_rugby_de_Argentina","57","5"
"Q7571","Patricio Albacete","Patricio Albacete","Patricio_Albacete","1999","2003","Club Manuel Belgrano",NA,NA,NA
"Q7571","Patricio Albacete","Patricio Albacete","Patricio_Albacete","2003","2004","US Colomiers","Colomiers_Rugby",NA,NA
"Q7571","Patricio Albacete","Patricio Albacete","Patricio_Albacete","2004","2006","Section Paloise","Section_Paloise",NA,NA
"Q7571","Patricio Albacete","Patricio Albacete","Patricio_Albacete","2006","2017","Stade Toulousain","Stade_Toulousain",NA,NA
"Q7571","Patricio Albacete","Patricio Albacete","Patricio_Albacete","2017","2018","Racing 92",NA,NA,NA
"Q12940","Jacques Chaban-Delmas","Jacques Chaban-Delmas","Jacques_Chaban-Delmas",NA,NA,"Selección de rugby de Francia","Selecci%C3%B3n_de_rugby_de_Francia",NA,NA
"Q12940","Jacques Chaban-Delmas","Jacques Chaban-Delmas","Jacques_Chaban-Delmas",NA,NA,"Stade Français Paris","Stade_Fran%C3%A7ais_Paris",NA,NA
"Q18455","Ben Tune","Ben Tune","Ben_Tune",NA,NA,"Australia","Selecci%C3%B3n_de_rugby_de_Australia","46",NA
"Q18455","Ben Tune","Ben Tune","Ben_Tune","1995","2007","Queensland RU",NA,NA,NA
"Q18455","Ben Tune","Ben Tune","Ben_Tune","1996","2007","Queensland Reds","Queensland_Reds",NA,NA
"Q26037","Quade Cooper","Quade Cooper","Quade_Cooper",NA,NA,"Australia","Selecci%C3%B3n_de_rugby_de_Australia","73","177"
"Q26037","Quade Cooper","Quade Cooper","Quade_Cooper","2007","2007","East Coast Aces",NA,NA,NA
"Q26037","Quade Cooper","Quade Cooper","Quade_Cooper","2007","2015","Reds","Queensland_Reds",NA,NA
"Q26037","Quade Cooper","Quade Cooper","Quade_Cooper","2014","2014","Brisbane City",NA,NA,NA
"Q26037","Quade Cooper","Quade Cooper","Quade_Cooper","2015",NA,"Toulon","Rugby_Club_Toulonnais",NA,NA
"Q31193","Ben Smith","Ben Smith","Ben_Smith",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","84","195"
"Q31193","Ben Smith","Ben Smith","Ben_Smith","2008","2009","Otago",NA,NA,NA
"Q31193","Ben Smith","Ben Smith","Ben_Smith","2009","2019","Highlanders","Highlanders_(rugby)",NA,NA
"Q31193","Ben Smith","Ben Smith","Ben_Smith","2019","2020","Section Paloise","Section_Paloise",NA,NA
"Q31193","Ben Smith","Ben Smith","Ben_Smith","2021",NA,"Kobelco Steelers","Kobelco_Kobe_Steelers",NA,NA
