player,playerLabel,firstnameLabels,lastnameLabels,sexLabel,dobMax,dobFormat,pobLabels,dodMax,dodFormat,podLabels,citizenshipLabels,sportCountryLabels,positionLabels,careerStartYears,careerEndYears,masses,heights,ESPNscrumIDs,AllRugbyIDs,GoogleKnowlIDs,ItsRugbyIDs,RugbyDatabaseIDs
http://www.wikidata.org/entity/Q100145545,Adrea Cocagi,,,male,1994-03-01T00:00:00Z,1994-3-1,Fiji,,,,Fiji,,centre,,,,,201745,adrea-cocagi,/g/11qjwww21z,27217,7804
http://www.wikidata.org/entity/Q100145614,Maxime Oltmann,Maxime,Oltmann,male,1995-12-28T00:00:00Z,1995-12-28,Port Vila,,,,Germany,,winger,,,,,286289,maxime-oltmann,/g/11j5lmcg2m,36724,
http://www.wikidata.org/entity/Q100146692,Cristian Ojovan,Cristian,Ojovan,male,1997-01-04T00:00:00Z,1997-1-4,Soroca,,,,Moldova,,prop,,,,,306437,cristian-ojovan,/g/11lx8xq4wl,36292,18299
http://www.wikidata.org/entity/Q100251513,Pierre Resende,Pierre,Resende,male,1998-08-30T00:00:00Z,1998-8-30,,,,,France,,hooker,,,,,,,,47852,
http://www.wikidata.org/entity/Q100319806,Thomas Potter,Thomas,Potter,male,1887-01-01T00:00:00Z,1887-1-1,,,,,United Kingdom of Great Britain and Ireland,Wales,flanker,,,95,1.85,,,,,
http://www.wikidata.org/entity/Q100454741,Lee Seung-Sin,,Lee,male,2001-01-13T00:00:00Z,2001-1-13,,,,,South Korea,Japan,"fly-half, centre, fullback",,,,,,seungsin-lee,/g/11k_c7tx70,46739,11893
http://www.wikidata.org/entity/Q100724880,Ollie Lawrence,Oliver,Lawrence,male,1999-09-18T00:00:00Z,1999-9-18,Birmingham,,,,United Kingdom,England,,,,,,298272,ollie-lawrence,/g/11fhssksqg,42037,8500
http://www.wikidata.org/entity/Q100745195,Yannick Youyoutte,Yannick,,male,1999-08-30T00:00:00Z,1999-8-30,Guadeloupe,,,,France,,"lock, flanker",,,,,306879,yannick-youyoutte,/g/11lg2hxfh7,45546,16289
http://www.wikidata.org/entity/Q100801739,Tom Darlet,Tom,Darlet,male,1996-08-06T00:00:00Z,1996-8-6,Saint-Paul,,,,France,,flanker,,,,,,tom-darlet,,43495,
http://www.wikidata.org/entity/Q100889956,Cian Prendergast,Cian,Prendergast,male,2000-02-23T00:00:00Z,2000-2-23,Kildare,,,,Ireland,,flanker,,,,,33661,cian-prendergast,/g/11qms52l11,47028,9903
http://www.wikidata.org/entity/Q100998846,Melvyn Jaminet,Melvyn,Jaminet,male,1999-06-30T00:00:00Z,1999-6-30,Hyères,,,,France,,fullback,,,77,1.8,308542,melvyn-jaminet,/g/11j5kxpdg6,46715,9400
http://www.wikidata.org/entity/Q100998869,Enzo Hervé,Enzo,Hervé,male,1998-10-13T00:00:00Z,1998-10-13,Le Bugue,,,,France,,fly-half,,,,,,enzo-herve,/g/11mvhbf3fl,41862,18333
http://www.wikidata.org/entity/Q101006672,Ollie Chessum,Oliver,,male,2000-09-06T00:00:00Z,2000-9-6,Boston,,,,United Kingdom,England,"lock, number 8, flanker",,,,,306376,ollie-chessum,/g/11lgjq10hg,46721,8489
http://www.wikidata.org/entity/Q101072750,Marvin Woki,Marvin,,male,1996-11-13T00:00:00Z,1996-11-13,,,,,France,,lock,,,,,,marvin-woki,/g/11kl2v1npc,43549,
http://www.wikidata.org/entity/Q101077976,William Pees,William,Pees,male,1993-08-06T00:00:00Z,1993-8-6,Pau,,,,France,,fly-half,,,,,,william-pees,/g/11hlpnmbk9,34889,
http://www.wikidata.org/entity/Q101078445,Mathieu Berbizier,Mathieu,,male,1996-09-15T00:00:00Z,1996-9-15,Lannemezan,,,,France,,fullback,,,,,,,/g/11hlpnn2vg,35275,
http://www.wikidata.org/entity/Q101079491,Dimitri Delibes,Dimitri,Delibes,male,1999-03-17T00:00:00Z,1999-3-17,Toulouse,,,,France,,"winger, centre",,,,,,dimitri-delibes,/g/11lgkw8l1p,41769,16268
