"clubId","clubLabel","clubTypeLabel","inceptionMax","inceptionFormat","terminationMax","terminationFormat","nickmaneLabels","affiliationLabels","countryLabels","competitionLabels","homeVenueLabels","homeVenueCapacities","locationLabels","AllRugbyIDs","GoogleKnowlIDs"
"Q1000020","Melrose RFC","rugby union team","1877-01-01","1877-1-1",NA,NA,NA,NA,"United Kingdom","Scottish Premiership",NA,NA,NA,NA,NA
"Q100605533","Q100605533","rugby union team","1989-01-01","1989-1-1",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA
"Q101161486","Q101161486","rugby union team","1902-01-01","1902-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Vizille",NA,"11mvp8jdjn"
"Q102192821","Q102192821","rugby union team","2020-01-01","2020-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Villeurbanne",NA,"11qnt6fj2v"
"Q1022908","CA Bordeaux-Bègles Gironde","rugby union team","1907-01-01","1907-1-1",NA,NA,NA,NA,"France",NA,"Stade André Moga",NA,"Bordeaux",NA,NA
"Q1022912","CA Brive","rugby union club","1910-01-01","1910-1-1",NA,NA,NA,"French Rugby Federation","France","Top 14","Stade Amédée-Domenech","13979","Brive-la-Gaillarde",NA,NA
"Q102422275","Q102422275","rugby union team","1941-01-01","1941-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Ussel",NA,"11qp16hkdj"
"Q1024459","CS Bourgoin-Jallieu","rugby union club","1906-01-01","1906-1-1",NA,NA,NA,"French Rugby Federation","France","Championnat Fédéral Nationale","Stade Pierre Rajon","9441","Bourgoin-Jallieu",NA,NA
"Q10280216","Q10280216","rugby union team",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"122s98h7"
"Q102860900","Q102860900","rugby union team",NA,NA,NA,NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA
"Q1033766","Canterbury RFU","rugby union club","1879-01-01","1879-1-1",NA,NA,NA,NA,"New Zealand",NA,NA,NA,"Christchurch",NA,NA
"Q10337984","Novo Hamburgo Rugby Clube","rugby union team",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"Novo Hamburgo",NA,"11b6nwp63_"
"Q103468941","Stade Marivalois","rugby union team","1972-01-01","1972-1-1",NA,NA,NA,"French Rugby Federation","France",NA,NA,NA,"Lacapelle-Marival",NA,NA
"Q10365206","Rugby Clube de Santarém","rugby union team","1995-01-01","1995-1-1",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q103819785","CAR Sevilla","rugby union team","1976-01-01","1976-1-1",NA,NA,NA,NA,"Spain","División de Honor B de Rugby",NA,NA,NA,NA,"11mvm33dyg"
"Q10386145","UFLA Rugby Team","rugby union team","2008-01-01","2008-1-1",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"121_p9mr"
"Q1043501","Carmarthen Quins RFC","rugby union team","1875-01-01","1875-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q104598189","Q104598189","rugby union team",NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,"Kiketi",NA,"11qp2_49zf"
"Q104626007","Moana Pasifika","rugby union team","2020-01-01","2020-1-1",NA,NA,NA,NA,"New Zealand","Super Rugby","Mount Smart Stadium",NA,"Auckland",NA,"11lkrbwztt"
"Q104841744","Berlin Irish RFC","rugby union team",NA,NA,NA,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,"11n5vg20wk"
"Q104845428","Newton Aycliffe RUFC","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,"11lkzg2_kr"
"Q104855780","Sale Sharks Women","rugby union club",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,"11l7dw3gy0"
"Q104855938","Canterbury","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11hspmhd8b"
"Q104855944","North Harbour","rugby union team",NA,NA,NA,NA,NA,NA,"New Zealand","National Provincial Championship",NA,NA,NA,NA,"11lpwfs5m8"
"Q104856087","Tasman","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11lpwgngl_"
"Q104856093","Wellington","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11hspmpp5l"
"Q104856095","Counties Manukau","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11hspmftqm"
"Q104856096","Hawke's Bay","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11lpwg_w5x"
"Q104856099","Manawatu","rugby union team",NA,NA,NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,"11kkvg6cnn"
"Q104856105","Northland","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11hspnwt_l"
"Q104856109","Otago","rugby union team",NA,NA,NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,"11kkvg5071"
"Q104856115","Taranaki","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11lpwg9vjx"
"Q1048688","London Welsh RFC","rugby union club","1895-01-01","1895-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q104901906","Waikato","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11hspnbqgy"
"Q1051207","Club de Rugby San Roque","rugby union team","1971-01-01","1971-1-1",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA
"Q105328944","Sport athlétique bordelais rugby","rugby union team","1892-03-16","1892-3-16","1972-02-04","1972-2-4",NA,NA,"France",NA,NA,NA,"Bordeaux",NA,"11ns14fztq"
"Q105334502","Saint Vincent and the Grenadines national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,"11qp_48wm9"
"Q1053725","Cheetahs","rugby union club","2005-01-01","2005-1-1",NA,NA,NA,NA,"South Africa","United Rugby Championship","Free State Stadium","48000","Bloemfontein",NA,NA
"Q106203603","Q106203603","national rugby union team",NA,NA,NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q106427613","Q106427613","rugby union team","1965-01-01","1965-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Prades",NA,NA
"Q106588324","Olympique de Paris (rugby union, 1897)","rugby union team","1897-01-01","1897-1-1","1926-01-01","1926-1-1",NA,NA,"France",NA,NA,NA,"Paris",NA,NA
